site,butterfly,bird
A,6,12
B,14,18
C,8,8
D,10,17
E,6,7
F,5,4
G,5,8
H,7,22
I,9,7
J,5,4
K,10,11
L,9,11
M,12,13
N,11,16
O,7,7
